No.,Player,Pos,PER
1,Tiny Archibald,PG,20.1
11,Bob Bigelow,SF,10.0
10,Mike D'Antoni,SG,7.7
10,Matt Guokas,SG,5.4
35,Glenn Hansen,SG,11.2
33,Ollie Johnson,SF,13.5
55,Len Kosmalski,C,12.1
44,Sam Lacey,C,15.5
31,Larry McNeill,PF,17.0
50,Rick Roberson,C,10.3
52,Bill Robinzine,PF,14.6
24,Jimmy Walker,SG,13.6
15,Scott Wedman,SF,13.9
3,Lee Winfield,PG,12.8
