No.,Player,Pos,PER
6,Alan Anderson,SF,9.5
0,Andray Blatche,PF,18.8
98,Jason Collins,C,4.1
30,Reggie Evans,PF,9.0
2,Kevin Garnett,C,13.3
13,Jorge Gutierrez,PG,8.7
7,Joe Johnson,SG,15.5
47,Andrei Kirilenko,PF,12.4
14,Shaun Livingston,PG,14.5
11,Brook Lopez,C,25.4
34,Paul Pierce,SF,16.8
1,Mason Plumlee,PF,19.0
20,Tornike Shengelia,SF,3.3
10,Tyshawn Taylor,PG,5.4
12,Marquis Teague,SG,8.4
33,Mirza Teletovic,SF,14.3
31,Jason Terry,PG,7.4
10,Marcus Thornton,SG,16.1
8,Deron Williams,PG,17.6
