No.,Player,Pos,PER
30,Earl Barron,C,5.0
2,Eric Bledsoe,PG,18.4
25,Reggie Bullock,SF,-3.1
10,Seth Curry,PG,-11.4
1,Goran Dragic,SG,16.7
10,Zoran Dragic,SG,9.1
4,Tyler Ennis,PG,12.0
20,Archie Goodwin,SG,11.2
14,Gerald Green,SG,15.4
3,Brandon Knight,SG,10.5
21,Alex Len,C,13.5
8,Jerel McNeal,PG,1.2
15,Marcus Morris,PF,13.7
11,Markieff Morris,PF,15.8
22,Miles Plumlee,C,13.1
1,A.J. Price,PG,-1.6
43,Shavlik Randolph,PF,6.1
3,Isaiah Thomas,PG,19.7
23,Marcus Thornton,SG,8.3
40,Anthony Tolliver,PF,7.8
17,P.J. Tucker,SF,12.5
12,T.J. Warren,SF,14.0
32,Brandan Wright,PF,17.8
