No.,Player,Pos,PER
14,Muggsy Bogues,PG,-0.5
15,Vince Carter,SF,25.0
1,Chris Childs,PG,8.8
7,Keon Clark,PF,19.2
23,Tyrone Corbin,SF,-2.2
30,Dell Curry,SG,14.4
9,Kornel David,SF,11.9
33,Antonio Davis,C,16.5
13,Mark Jackson,PG,16.3
32,Garth Joseph,C,11.3
0,Eric Montross,C,8.1
3,Tracy Murray,SF,11.9
32,Mamadou N'Diaye,C,6.6
34,Charles Oakley,PF,11.6
24,Morris Peterson,SG,14.1
4,Michael Stewart,C,8.7
20,Alvin Williams,SG,15.2
13,Jerome Williams,PF,17.3
35,Corliss Williamson,SF,12.1
42,Kevin Willis,C,15.3
