No.,Player,Pos,PER
33,Greg Anderson,PF,14.9
10,Michael Anderson,PG,10.5
40,Willie Anderson,SF,16.6
25,Anthony Bowie,SG,10.6
43,Frank Brickowski,C,15.0
22,Dallas Comegys,PF,11.9
12,Darwin Cook,SG,11.8
24,Johnny Dawkins,PG,13.4
10,Dave Greenwood,PF,11.3
35,Petur Gudmundsson,C,2.7
31,Shelton Jones,SF,6.8
55,Albert King,SF,9.4
11,Vernon Maxwell,SG,12.1
32,Todd Mitchell,SF,-4.8
7,Calvin Natt,SF,9.3
21,Alvin Robertson,SG,17.2
3,Scott Roth,SF,8.2
3,Keith Smart,PG,0.0
52,Mike Smrek,PF,9.0
32,John Stroeder,PF,-38.8
31,Jay Vincent,SF,7.4
6,Jerome Whitehead,C,7.2
