No.,Player,Pos,PER
35,Richard Anderson,C,10.4
15,Jim Brogan,SG,13.4
7,Michael Brooks,SF,15.2
22,Tom Chambers,PF,15.1
23,Joe Cooper,C,11.6
34,Terry Cummings,PF,22.8
13,John Douglas,SG,7.8
30,Bob Gross,SF,8.7
24,Craig Hodges,SG,10.3
9,Lionel Hollins,PG,12.8
23,Hutch Jones,SF,13.0
13,Lowes Moore,PG,8.8
31,Swen Nater,C,6.6
9,Randy Smith,SG,14.9
9,Robert Smith,PG,6.3
32,Bill Walton,C,18.0
33,Jerome Whitehead,C,15.4
4,Al Wood,SF,13.0
