No.,Player,Pos,PER
6,Keith Bogans,SF,4.8
9,MarShon Brooks,SG,12.9
14,Andre Emmett,SF,13.3
2,Jordan Farmar,PG,17.4
1,Sundiata Gaines,SG,15.0
14,Gerald Green,SF,15.8
31,Dennis Horner,PF,6.6
43,Kris Humphries,PF,17.9
10,Damion James,SF,6.1
7,Armon Johnson,PG,12.5
11,Brook Lopez,C,21.9
22,Anthony Morrow,SG,13.1
13,Mehmet Okur,C,8.4
24,Larry Owens,SF,5.8
27,Johan Petro,C,10.3
28,Jerry Smith,PG,7.8
92,DeShawn Stevenson,SF,4.3
45,Gerald Wallace,SF,17.2
8,Deron Williams,PG,20.3
20,Jordan Williams,C,14.5
7,Shawne Williams,SF,4.9
33,Shelden Williams,C,11.9
