No.,Player,Pos,PER
53,Jerome Allen,SG,8.9
17,Vincent Askew,SG,0.9
14,Elmer Bennett,PG,-1.3
14,Melvin Booker,PG,-5.1
3,Dale Ellis,SF,12.9
20,LaPhonso Ellis,PF,18.2
5,Anthony Goldwire,PG,12.6
35,Darvin Ham,SF,8.2
21,Tom Hammonds,PF,10.1
13,Mark Jackson,PG,16.2
50,Ervin Johnson,C,14.3
13,Jimmy King,SG,12.7
8,Sarunas Marciulionis,SG,8.1
24,Antonio McDyess,PF,15.5
5,Jeff McInnis,PG,14.8
14,Eric Murdock,PG,18.1
22,Ricky Pierce,SG,15.3
30,Kenny Smith,PG,12.5
23,Bryant Stith,SG,14.4
6,Brooks Thompson,PG,13.7
41,LaSalle Thompson,C,-0.9
55,Aaron Williams,C,19.1
25,George Zidek,C,20.3
