No.,Player,Pos,PER
3,Chauncey Billups,PG,11.1
7,Dee Brown,SG,16.8
21,Marcus Camby,C,15.9
13,Doug Christie,SG,16.2
25,Lloyd Daniels,SG,13.5
0,Chris Garner,PG,5.6
54,Popeye Jones,PF,13.4
40,Tim Kempton,PF,0.4
55,Bob McCann,SF,-7.3
1,Tracy McGrady,SF,17.4
2,Oliver Miller,C,12.8
31,Shawn Respert,SG,12.9
34,Carlos Rogers,PF,13.1
9,Roy Rogers,PF,3.9
35,Reggie Slater,PF,12.4
40,Ed Stokes,C,6.4
20,Damon Stoudamire,PG,17.7
3,Zan Tabak,C,9.9
12,John Thomas,PF,6.8
33,Gary Trent,PF,14.9
44,John Wallace,SF,14.8
22,Alvin Williams,SG,7.3
42,Walt Williams,SF,13.0
4,Sharone Wright,C,10.7
