No.,Player,Pos,PER
12-42,Alexis Ajinca,C,14.6
0,Al-Farouq Aminu,SF,13.2
17,Lou Amundson,PF,9.2
33,Ryan Anderson,PF,18.8
8,Luke Babbitt,PF,12.1
8,Josh Childress,SF,3.9
23,Anthony Davis,C,26.5
4,Melvin Ely,C,3.9
1,Tyreke Evans,SF,18.4
10,Eric Gordon,SG,14.9
11,Jrue Holiday,PG,17.1
2,Darius Miller,SF,9.0
3,Anthony Morrow,SG,13.9
21,Arinze Onuaku,PF,5.6
25,Austin Rivers,SG,11.6
22,Brian Roberts,PG,13.4
14,Jason Smith,PF,12.4
31,James Southerland,F,17.7
34,Greg Stiemsma,C,9.7
42,Lance Thomas,SF,0.5
5,Jeff Withey,C,15.2
