No.,Player,Pos,PER
18,Ashraf Amaya,PF,11.8
2,Greg Anthony,PG,18.6
34,Anthony Avent,PF,6.9
0,Benoit Benjamin,C,13.6
30,Blue Edwards,SF,11.9
32,Doug Edwards,PF,7.5
44,Kenny Gattison,PF,10.7
40,Antonio Harvey,PF,9.7
17,Chris King,SF,10.8
15,Rich Manning,PF,7.6
40,Cuonzo Martin,SG,20.6
5,Darrick Martin,PG,14.3
52,Eric Mobley,C,10.0
7,Lawrence Moten,SG,15.7
14,Eric Murdock,PG,16.9
50,Bryant Reeves,C,13.4
4,Byron Scott,SG,13.0
21,Gerald Wilkins,SG,7.3
