No.,Player,Pos,PER
35,Lonny Baxter,PF,12.4
43,Corie Blount,PF,13.9
9,Rick Brunson,PG,12.9
3,Tyson Chandler,PF,14.2
1,Jamal Crawford,SG,15.9
2,Eddy Curry,PF,14.8
34,Antonio Davis,C,12.1
20,Ronald Dupree,SF,9.7
21,Marcus Fizer,SF,13.4
13,Kendall Gill,SG,11.1
12,Kirk Hinrich,PG,13.1
6,Chris Jefferies,SF,7.4
8,Linton Johnson,SF,9.6
42,Donyell Marshall,PF,13.8
31,Roger Mason,SG,-5.5
15,Jannero Pargo,PG,14.5
33,Scottie Pippen,SF,12.4
32,Eddie Robinson,SF,11.0
5,Jalen Rose,SF,10.8
45,Paul Shirley,PF,4.6
11,Jerome Williams,PF,15.4
