No.,Player,Pos,PER
21,Wilson Chandler,SF,12.9
25,Mardy Collins,SG,5.0
11,Jamal Crawford,SG,15.7
5,Joe Crawford,SF,10.8
34,Eddy Curry,C,2.8
1,Chris Duhon,PG,12.2
8,Danilo Gallinari,SG,13.4
7,Al Harrington,PF,16.4
0,Larry Hughes,SG,12.3
13,Jerome James,C,12.5
20,Jared Jeffries,SF,9.4
42,David Lee,C,19.0
35,Demetris Nichols,SF,15.7
50,Zach Randolph,C,19.8
23,Quentin Richardson,SG,11.6
5,Anthony Roberson,PG,11.8
4,Nate Robinson,PG,18.9
31,Malik Rose,PF,-1.9
25,Cheikh Samb,C,-12.6
18,Mouhamed Sene,C,32.0
44,Courtney Sims,C,19.8
2,Tim Thomas,PF,13.4
9,Chris Wilcox,C,13.2
