No.,Player,Pos,PER
24,Dudley Bradley,SG,10.3
45,Randy Breuer,C,12.3
2,Junior Bridgeman,SF,11.1
12,Don Collins,SF,9.1
34,Terry Cummings,PF,20.5
50,Chris Engler,C,5.8
54,Kenny Fields,SF,16.6
10,Mike Glenn,SG,10.1
31,Cedric Henderson,PF,22.2
40,Jerome Henderson,PF,-2.4
15,Craig Hodges,PG,11.9
10,John Lucas,PG,19.4
41,Hank McDowell,PF,10.7
44,Paul Mokeski,C,7.4
4,Sidney Moncrief,SG,15.9
22,Ricky Pierce,SG,18.5
25,Paul Pressey,SF,16.7
35,Jerry Reynolds,SF,12.9
43,Jack Sikma,C,16.0
5,Scott Skiles,PG,6.2
11,Keith Smith,SG,6.0
40,Marvin Webster,C,10.7
