No.,Player,Pos,PER
12,Rafer Alston,PG,12.6
8,Derek Anderson,SG,12.5
20,Jon Barry,SG,8.5
35,Lonny Baxter,C,13.1
10,Keith Bogans,SF,9.3
40,Ryan Bowen,SF,4.0
9,Rick Brunson,PG,6.1
18,Josh Davis,PF,
14,Richie Frahm,SG,10.4
9,Stephen Graham,SG,9.7
44,Chuck Hayes,PF,18.0
2,Luther Head,SG,11.2
5,Juwan Howard,PF,12.5
15,Maciej Lampe,C,-2.1
15,John Lucas III,PG,7.7
1,Tracy McGrady,SF,21.9
11,Yao Ming,C,25.6
55,Dikembe Mutombo,C,12.7
25,Moochie Norris,PG,10.4
4,Stromile Swift,C,14.6
7,David Wesley,SG,9.6
