No.,Player,Pos,PER
21,Derrick Alston,C,11.8
5,Elmer Bennett,PG,-0.5
76,Shawn Bradley,C,13.4
40,Mike Brown,C,7.3
44,Derrick Coleman,PF,12.0
7,Richard Dumas,PF,11.3
20,Greg Graham,SG,13.1
3,Greg Grant,PG,9.5
9,Sean Higgins,SF,10.4
25,Jeff Malone,SG,9.0
30,Tony Massenburg,PF,13.1
11,Vernon Maxwell,PG,13.9
23,Tim Perry,PF,9.1
54,Ed Pinckney,PF,13.9
8,Trevor Ruffin,PG,14.8
5,Scott Skiles,PG,9.0
42,Jerry Stackhouse,SG,14.8
20,Greg Sutton,PG,10.5
41,LaSalle Thompson,C,6.2
23,Rex Walters,SG,13.2
35,Clarence Weatherspoon,SF,17.1
55,Scott Williams,PF,10.5
30,Trevor Wilson,PF,13.2
4,Sharone Wright,C,14.5
