No.,Player,Pos,PER
42,Alexis Ajinca,C,12.0
50,Solomon Alabi,C,2.0
13,David Andersen,PF,13.8
3,Marcus Banks,PG,6.8
20,Leandro Barbosa,SG,15.3
7,Andrea Bargnani,C,16.4
5,Jerryd Bayless,PG,14.9
8,Jose Calderon,PG,16.3
32,Ed Davis,PF,15.8
10,DeMar DeRozan,SG,14.5
9,Joey Dorsey,C,14.2
12,Ronald Dupree,SF,0.5
30,Reggie Evans,PF,12.4
2,Sundiata Gaines,PG,9.3
1,Jarrett Jack,PG,12.6
15,Amir Johnson,PF,17.6
0,James Johnson,SF,13.2
12,Trey Johnson,SG,7.0
11,Linas Kleiza,SF,10.1
16,Peja Stojakovic,SF,34.0
24,Sonny Weems,SF,10.2
14,Julian Wright,SF,12.1
