No.,Player,Pos,PER
7,Kenny Anderson,PG,13.3
17,Vincent Askew,SG,6.7
2,Stacey Augmon,SG,10.3
9,Rick Brunson,PG,9.6
31,Kelvin Cato,C,13.3
12,John Crotty,PG,7.0
44,Brian Grant,SF,16.7
23,Gary Grant,PG,16.1
19,Sean Higgins,SF,-15.1
53,Alton Lister,C,2.4
5,Jermaine O'Neal,PF,12.7
34,Isaiah Rider,SG,15.2
4,Carlos Rogers,PF,8.1
11,Arvydas Sabonis,C,20.9
3,Damon Stoudamire,PG,14.5
33,Gary Trent,PF,16.7
30,Rasheed Wallace,PF,14.9
21,Alvin Williams,SG,11.0
42,Walt Williams,SF,14.0
10,Dontonio Wingfield,SF,-7.1
