No.,Player,Pos,PER
10,Josh Akognon,PG,15.3
3,Rodrigue Beaubois,PG,10.6
42,Elton Brand,C,15.2
25,Vince Carter,SF,17.8
4,Darren Collison,PG,16.3
9,Jae Crowder,SF,10.2
1,Jared Cunningham,SG,14.8
52,Eddy Curry,C,-0.2
7,Justin Dentmon,PG,-19.4
17,Chris Douglas-Roberts,SG,8.3
6,Derek Fisher,PG,8.7
5,Bernard James,C,14.7
13,Mike James,PG,9.5
30,Dahntay Jones,SF,6.9
20,Dominique Jones,PG,12.4
35,Chris Kaman,C,16.3
0,Shawn Marion,PF,18.0
32,O.J. Mayo,SG,13.9
23,Anthony Morrow,SG,10.9
6,Troy Murphy,PF,9.1
41,Dirk Nowitzki,PF,19.8
34,Brandan Wright,C,21.0
8,Chris Wright,SG,-1.9
