No.,Player,Pos,PER
2,Vincent Askew,SG,-2.3
45,Shawn Bradley,C,16.3
50,Adrian Caldwell,PF,5.1
10,Sam Cassell,PG,19.7
24,Lloyd Daniels,SG,10.1
33,Yinka Dare,C,7.2
21,Kevin Edwards,PG,9.8
15,Chris Gatling,PF,16.9
13,Kendall Gill,SF,19.6
2,Evric Gray,SF,2.8
54,Jack Haley,C,19.6
22,Jim Jackson,SF,15.0
30,Kerry Kittles,SG,16.0
35,Joe Kleine,C,8.7
44,Tony Massenburg,PF,11.9
34,Xavier McDaniel,PF,10.8
0,Eric Montross,C,11.3
31,Ed O'Bannon,SF,10.2
14,Robert Pack,PG,16.0
6,Khalid Reeves,PG,12.1
41,Robert Werdann,C,8.7
55,Jayson Williams,PF,15.0
7,Reggie Williams,SF,11.4
