No.,Player,Pos,PER
10.0,Michael Adams,PG,14.2
35.0,Ron Anderson,SF,10.2
4.0,Manute Bol,C,10.7
32.0,Mitchell Butler,SG,13.0
3.0,Rex Chapman,SG,16.9
40.0,Calbert Cheaney,SG,14.0
50.0,Marty Conlon,C,11.8
0.0,Kevin Duckworth,C,8.2
43.0,Pervis Ellison,C,10.7
4.0,Andrew Gaze,SG,10.5
24.0,Tom Gugliotta,PF,17.9
42.0,Tito Horford,C,1.8
34.0,Don MacLean,SF,17.8
77.0,Gheorghe Muresan,C,17.4
14.0,Doug Overton,PG,8.4
4.0,Gerald Paddio,SF,11.8
20.0,Brent Price,PG,13.2
,LaBradford Smith,SG,25.5
33.0,Larry Stewart,SF,13.6
15.0,Kenny Walker,SF,10.7
