No.,Player,Pos,PER
7,Kelenna Azubuike,SF,19.8
18,Raja Bell,SG,20.6
15,Andris Biedrins,C,13.0
30,Stephen Curry,PG,16.3
8,Monta Ellis,SG,16.7
19,Devean George,SF,11.6
31,Chris Hunter,C,12.2
1,Stephen Jackson,PF,14.5
11,Coby Karl,SF,7.1
2,Acie Law,PG,21.3
50,Corey Maggette,PF,20.3
20,Cartier Martin,SF,7.3
33,Mikki Moore,C,11.2
22,Anthony Morrow,SG,14.0
77,Vladimir Radmanovic,PF,7.9
4,Anthony Randolph,C,18.7
44,Anthony Tolliver,PF,13.7
21,Ronny Turiaf,C,12.6
23,C.J. Watson,PG,13.8
55,Reggie Williams,SF,16.1
