No.,Player,Pos,PER
25,James Anderson,SG,8.8
45,DeJuan Blair,PF,17.6
15,Matt Bonner,PF,13.2
34,Derrick Byars,PF,14.9
23,Eric Dawson,C,14.6
1,Justin Dentmon,PG,1.6
33,Boris Diaw,PF,12.1
1,Ike Diogu,PF,-2.9
21,Tim Duncan,C,22.5
11,T.J. Ford,PG,11.0
20,Manu Ginobili,SG,24.1
4,Danny Green,SG,15.5
3,Stephen Jackson,SF,13.1
24,Richard Jefferson,SF,10.9
5,Cory Joseph,PG,6.9
2,Kawhi Leonard,SF,16.6
8,Patrick Mills,PG,21.5
14,Gary Neal,SG,14.2
9,Tony Parker,PG,22.0
22,Tiago Splitter,C,20.5
23,Malcolm Thomas,PF,7.1
