No.,Player,Pos,PER
49,Shandon Anderson,SG,10.1
42,Vin Baker,PF,10.5
51,Michael Doleac,C,14.0
4,Howard Eisley,PG,13.5
1,Anfernee Hardaway,SG,10.8
32,Othella Harrington,PF,9.0
20,Allan Houston,SG,14.8
4,DerMarr Johnson,SF,11.5
3,Stephon Marbury,PG,20.9
34,Antonio McDyess,PF,13.6
13,Nazr Mohammed,C,18.1
55,Dikembe Mutombo,C,14.3
25,Moochie Norris,PG,14.8
41,Bruno Sundov,C,22.4
50,Mike Sweetney,PF,17.2
40,Kurt Thomas,PF,14.1
5,Tim Thomas,SF,16.7
5-14,Cezary Trybanski,C,-6.6
2,Keith Van Horn,SF,17.2
21,Charlie Ward,PG,17.5
35,Clarence Weatherspoon,PF,13.5
30,Frank Williams,PG,10.7
