No.,Player,Pos,PER
21,Rick Adelman,PG,11.2
25,Jim Barnett,SG,14.6
8,Walt Bellamy,C,16.4
17,Henry Bibby,PG,14.4
34,John Block,PF,15.2
33,Ken Boyd,SF,25.3
12,E.C. Coleman,PF,10.8
31,Mel Counts,C,14.8
25,Bernie Fryer,SG,11.0
16,Lamar Green,C,8.4
23,Aaron James,SF,14.4
35,Ollie Johnson,SF,10.8
7,Toby Kimball,PF,7.3
22,Stu Lantz,SG,9.7
11,Russ Lee,SF,13.1
44,Pete Maravich,SG,18.3
34,Otto Moore,C,11.6
14,Louie Nelson,PG,12.8
30,Rick Roberson,C,13.1
15,Bud Stallworth,SF,10.2
41,Neal Walk,C,15.4
22,Nate Williams,SG,19.5
