No.,Player,Pos,PER
31,Cole Aldrich,C,7.3
5,James Anderson,SG,14.2
3,Omer Asik,C,14.9
12,Patrick Beverley,PG,15.4
0,Aaron Brooks,PG,5.6
14,Daequan Cook,SG,8.8
10,Carlos Delfino,SF,13.3
15,Toney Douglas,PG,12.3
32,Francisco Garcia,SF,12.2
13,James Harden,SG,23.0
6,Terrence Jones,PF,17.1
7,Jeremy Lin,PG,14.9
1,Scott Machado,PG,6.0
2,Marcus Morris,PF,12.1
20,Donatas Motiejunas,PF,12.2
14,Tim Ohlbrecht,C,-6.1
25,Chandler Parsons,SF,15.3
54,Patrick Patterson,PF,15.5
0-41,Thomas Robinson,PF,12.0
4,Greg Smith,C,16.1
