No.,Player,Pos,PER
4,Courtney Alexander,PG,14.2
52,Calvin Booth,C,14.7
24,Hubert Davis,PG,12.8
54,Obinna Ekezie,PF,13.3
32,Richard Hamilton,SF,15.7
5,Juwan Howard,PF,15.8
50,Popeye Jones,PF,13.1
51,Gerard King,SF,10.1
44,Christian Laettner,PF,17.6
13,Felipe Lopez,SG,11.9
8,Tyrone Nesby,SF,9.0
44,Cherokee Parks,C,13.0
3,Laron Profit,PG,11.7
2,Mitch Richmond,SG,14.9
34,Michael Smith,PF,14.0
40,Mike Smith,SF,8.1
1,Rod Strickland,PG,17.4
22,David Vanterpool,PG,10.9
35,Loy Vaught,PF,16.8
55,Jahidi White,C,14.7
12,Chris Whitney,PG,13.2
