No.,Player,Pos,PER
5.0,Quincy Acy,SF,9.6
15.0,DeMarcus Cousins,C,26.1
9.0,Jared Cunningham,SG,12.4
30.0,Reggie Evans,PF,13.8
7.0,Jimmer Fredette,SG,16.3
8.0,Rudy Gay,SF,19.6
33.0,Aaron Gray,C,7.9
42.0,Chuck Hayes,C,11.4
,Orlando Johnson,SG,-0.3
24.0,Carl Landry,PF,11.2
33.0,Luc Mbah a Moute,SF,11.7
3.0,Ray McCallum,PG,9.7
16.0,Ben McLemore,SG,7.7
55.0,Hamady N'Diaye,C,2.9
25.0,Travis Outlaw,SF,10.4
9.0,Patrick Patterson,PF,10.3
5.0,John Salmons,SF,8.3
22.0,Isaiah Thomas,PG,20.5
34.0,Jason Thompson,PF,11.1
23.0,Marcus Thornton,SG,9.7
10.0,Greivis Vasquez,PG,14.1
35.0,Royce White,PF,-8.3
13.0,Derrick Williams,SF,11.9
