No.,Player,Pos,PER
19,Furkan Aldemir,PF,12.0
0,Isaiah Canaan,PG,12.8
1,Michael Carter-Williams,PG,12.8
33,Robert Covington,SF,14.7
0,Brandon Davies,PF,10.7
7,Larry Drew,PG,4.5
20,Tim Frazier,PG,5.9
30,Drew Gordon,PF,3.7
39,Jerami Grant,SF,8.7
16,Chris Johnson,SF,6.0
11,Malcolm Lee,SG,-19.7
12,Luc Mbah a Moute,PF,10.6
14,K.J. McDaniels,SG,10.8
1,JaVale McGee,C,6.8
4,Nerlens Noel,C,15.0
23,Jason Richardson,SG,11.7
1,Glenn Robinson III,SF,8.6
41,Thomas Robinson,PF,19.3
9,JaKarr Sampson,SF,9.4
88,Alexey Shved,SG,20.0
35,Henry Sims,C,14.5
5,Ish Smith,PG,13.0
11,Malcolm Thomas,PF,8.2
31,Hollis Thompson,SG,10.9
8,Tony Wroten,PG,14.9
