No.,Player,Pos,PER
32,Darrell Allums,PF,5.3
6,Winford Boynes,SG,6.1
45,Marty Byrnes,SF,13.6
34,Austin Carr,SG,-1.9
15,Brad Davis,PG,16.4
43,Monti Davis,PF,-5.4
52,Ralph Drollinger,C,5.3
42,Terry Duerod,SF,13.7
10,Joe Hassett,SG,11.6
20,Geoff Huston,PG,13.4
11,Abdul Jeelani,SF,15.5
53,Clarence Kea,PF,17.3
21,Chad Kinch,SG,4.8
25,Tom LaGarde,C,13.5
44,Scott Lloyd,C,9.3
17,Ollie Mack,SG,13.0
43,Stan Pietkiewicz,SG,13.5
54,Bill Robinzine,PF,15.2
33-34,Jim Spanarkel,SF,17.3
31,Richard Washington,PF,11.5
54,Jerome Whitehead,C,6.0
