No.,Player,Pos,PER
35.0,Willie Anderson,SG,12.6
2.0,Keith Askins,SF,9.1
8.0,Isaac Austin,C,14.2
3.0,Bruce Bowen,SF,37.7
42.0,P.J. Brown,PF,13.8
11.0,John Crotty,PG,14.3
5.0,Sasha Danilovic,SG,9.7
,Matt Fish,C,0.0
23.0,Gary Grant,PG,9.1
10.0,Tim Hardaway,PG,20.8
21.0,Voshon Lenard,SG,14.7
9.0,Dan Majerle,SF,13.2
24.0,Jamal Mashburn,SF,13.1
33.0,Alonzo Mourning,C,21.6
31.0,Martin Muursepp,PF,11.9
54.0,Ed Pinckney,PF,11.4
32.0,James Scott,SF,-4.1
30.0,Mark Strickland,PF,11.1
40.0,Kurt Thomas,PF,9.5
