No.,Player,Pos,PER
6,Blake Ahearn,PG,9.0
50,Joel Anthony,PF,8.8
5,Marcus Banks,PG,15.5
30,Earl Barron,C,9.4
15,Mark Blount,C,11.4
14,Daequan Cook,SG,7.9
31,Ricky Davis,SF,12.0
7,Anfernee Hardaway,SF,9.0
40,Udonis Haslem,PF,12.7
6,Luke Jackson,SF,9.1
13,Alexander Johnson,PF,8.9
21,Bobby Jones,SF,11.2
45,Stephane Lasme,PF,11.7
7,Shawn Marion,PF,17.1
33,Alonzo Mourning,C,16.2
32,Shaquille O'Neal,C,17.7
21,Smush Parker,PG,5.5
12,Kasib Powell,SF,9.0
11,Chris Quinn,PG,13.8
3,Dwyane Wade,SG,21.5
55,Jason Williams,PG,12.7
1,Dorell Wright,SF,14.4
