No.,Player,Pos,PER
7.0,Earl Boykins,PG,9.3
24.0,Scott Burrell,SF,12.6
43.0,Chris Carr,SG,13.0
10.0,Sam Cassell,PG,23.7
51.0,William Cunningham,C,0.5
11.0,Brian Evans,SF,12.0
14.0,Jamie Feick,PF,14.2
15.0,Chris Gatling,C,5.5
13.0,Kendall Gill,SF,14.8
12.0,Lucious Harris,SG,11.0
42.0,Mark Hendrickson,PF,12.3
9.0,Damon Jones,PG,14.4
30.0,Kerry Kittles,SG,13.5
33.0,Stephon Marbury,PG,21.8
22.0,Jim McIlvaine,C,9.5
5.0,Eric Murdock,PG,12.3
77.0,Gheorghe Muresan,C,-90.6
20.0,Doug Overton,PG,10.6
1.0,Elliot Perry,PG,8.4
2.0,Rony Seikaly,C,0.5
44.0,Keith Van Horn,PF,19.6
,David Vaughn,PF,13.5
55.0,Jayson Williams,C,14.5
