No.,Player,Pos,PER
20.0,Gene Banks,PF,15.4
45.0,Dave Batton,C,6.4
10.0,Ron Brewer,SG,9.9
,Keith Edmonson,SG,16.2
44.0,George Gervin,SG,19.3
53.0,Artis Gilmore,C,18.8
42.0,Edgar Jones,PF,14.9
25.0,Steve Lingenfelter,PF,2.7
32.0,Darrell Lockhart,C,1.6
15.0,John Lucas,PG,18.1
31.0,Mark McNamara,C,11.9
41.0,Bob Miller,PF,25.0
34.0,Mike Mitchell,SF,17.1
0.0,Johnny Moore,PG,17.5
4.0,John Paxson,PG,12.7
21.0,Roger Phegley,SG,20.7
11.0,Fred Roberts,PF,12.6
25.0,Dave Robisch,C,4.8
25.0,Brant Weidner,PF,5.4
12.0,Kevin Williams,SG,9.9
