No.,Player,Pos,PER
3,Shareef Abdur-Rahim,PF,21.2
33,Michael Bradley,C,5.8
40,Jason Collier,C,14.6
4,Chris Crawford,PF,15.8
5,Josh Davis,PF,2.1
32,Boris Diaw,SG,8.8
12,Dan Dickau,PG,10.4
15,Hiram Fuller,PF,3.6
5,Dion Glover,SG,12.5
6,Travis Hansen,SF,7.2
44,Alan Henderson,PF,18.2
1,Stephen Jackson,SF,16.1
2,Nazr Mohammed,C,14.8
34,Mamadou N'Diaye,C,13.3
54,Lee Nailon,PF,14.3
7,Wesley Person,SG,10.6
10,Joel Przybilla,C,7.1
42,Theo Ratliff,C,12.9
12,Zeljko Rebraca,C,14.1
3,Bob Sura,SG,18.5
31,Jason Terry,PG,16.2
11,Jacque Vaughn,PG,8.0
36,Rasheed Wallace,PF,13.7
