No.,Player,Pos,PER
5,Rick Adelman,PG,10.0
1,Tiny Archibald,PG,21.7
11,Ron Behagen,PF,12.6
10,Mike D'Antoni,SG,10.8
33,Ken Durrett,SF,11.2
33,Ollie Johnson,SF,11.3
21,Don Kojis,SF,14.2
55,Len Kosmalski,C,10.0
44,Sam Lacey,C,15.3
23,Don May,SF,12.2
31,Larry McNeill,PF,15.5
24,Jimmy Walker,SG,12.7
15,Scott Wedman,SF,12.0
22,Nate Williams,SG,16.1
