No.,Player,Pos,PER
9,Tariq Abdul-Wahad,SG,0.3
3,Charlie Bell,SG,7.6
44,Shawn Bradley,C,14.6
21,Greg Buckner,SG,13.3
42,Evan Eschmeyer,C,9.9
4,Michael Finley,SF,17.6
7,Adrian Griffin,SG,14.2
10,Tim Hardaway,PG,13.4
1,Donnell Harvey,PF,10.1
5,Juwan Howard,PF,15.1
5,Avery Johnson,PG,11.8
45,Raef LaFrentz,C,15.8
6,Danny Manning,PF,11.7
2,Darrick Martin,PG,-11.2
14,Eduardo Najera,PF,14.8
13,Steve Nash,PG,20.7
2,Johnny Newman,SF,8.3
41,Dirk Nowitzki,C,24.1
31,Nick Van Exel,SG,16.3
16,Wang Zhizhi,C,16.1
