No.,Player,Pos,PER
36,Omri Casspi,SF,11.2
9,Semih Erden,C,9.9
8,Christian Eyenga,SF,2.1
33,Alonzo Gee,SG,13.2
1,Daniel Gibson,SG,9.2
44,Luke Harangody,PF,10.4
6,Manny Harris,SG,11.7
5,Ryan Hollins,C,7.0
14,Lester Hudson,PG,14.7
2,Kyrie Irving,PG,21.4
4,Antawn Jamison,PF,16.1
12,D.J. Kennedy,SF,4.7
18,Anthony Parker,SF,10.9
24,Samardo Samuels,C,11.1
3,Ramon Sessions,PG,16.4
15,Donald Sloan,PG,8.9
21,Mychel Thompson,SG,2.2
13,Tristan Thompson,PF,13.3
6,Ben Uzoh,PG,21.0
17,Anderson Varejao,C,18.9
32,Luke Walton,PF,2.2
