No.,Player,Pos,PER
32,Don Adams,SF,10.8
34,John Block,PF,15.2
21,Johnny Egan,PG,5.6
11,Elvin Hayes,C,19.4
7,Toby Kimball,PF,9.7
22,Stu Lantz,SG,16.8
23,Calvin Murphy,PG,19.4
54,Curtis Perry,C,12.9
20,Larry Siegfried,PG,11.6
45,Rudy Tomjanovich,PF,12.2
31,John Trapp,SF,10.5
35,Bernie Williams,SG,10.1
