No.,Player,Pos,PER
9,Gilbert Arenas,PG,14.0
24,Hilton Armstrong,C,8.6
0,Mike Bibby,PG,1.1
7,Andray Blatche,PF,16.9
35,Trevor Booker,PF,15.3
15,Jordan Crawford,SG,12.6
6,Maurice Evans,SF,10.9
15,Alonzo Gee,SG,9.9
12,Kirk Hinrich,SG,13.5
5,Josh Howard,SF,9.2
3,Lester Hudson,PG,6.0
12,Othyus Jeffers,SG,13.7
31,Yi Jianlian,PF,10.1
9,Rashard Lewis,SF,12.8
20,Cartier Martin,SF,11.7
34,JaVale McGee,C,17.4
55,Hamady N'Diaye,C,5.3
32,Larry Owens,SF,11.0
13,Kevin Seraphin,PF,8.4
22,Mustafa Shakur,PG,6.8
14,Al Thornton,SF,11.8
2,John Wall,PG,15.8
1,Nick Young,SG,14.5
