No.,Player,Pos,PER
50,Joel Anthony,C,14.7
14,D.J. Augustin,PG,15.8
31,Caron Butler,SF,9.3
5,Kentavious Caldwell-Pope,SG,11.2
13,Luigi Datome,SF,16.7
8,Spencer Dinwiddie,PG,10.2
0,Andre Drummond,C,21.4
1,Reggie Jackson,PG,19.8
7,Brandon Jennings,PG,19.7
33,Jonas Jerebko,PF,14.5
9,John Lucas III,PG,13.0
35,Cartier Martin,SF,1.6
20,Jodie Meeks,SG,14.1
20,Quincy Miller,PF,3.6
10,Greg Monroe,PF,21.2
22,Tayshaun Prince,SF,11.8
25,Kyle Singler,SF,9.4
6,Josh Smith,PF,14.3
43,Anthony Tolliver,PF,11.8
3,Shawne Williams,SF,6.7
