No.,Player,Pos,PER
1,Tiny Archibald,PG,19.4
42,Mike Bantom,SF,18.2
21,Tim Bassett,PF,10.5
34,Mel Daniels,C,10.7
31,Mel Davis,PF,11.0
40,Jim Fox,C,13.8
11,Rudy Hackett,PF,1.9
11,Robert Hawkins,SG,18.2
35,Kim Hughes,C,9.8
33,Rich Jones,SF,12.5
10,Bob Love,SF,15.4
31,Larry McNeill,PF,18.1
30,Al Skinner,SG,15.7
12,Chuck Terry,SF,8.8
20,Jan Van Breda Kolff,SF,12.0
40,Earl Williams,C,11.2
23,John Williamson,SG,15.8
15,Dave Wohl,PG,10.4
