No.,Player,Pos,PER
5,John Bagley,PG,12.4
10,Otis Birdsong,SG,10.4
22,Dudley Bradley,SG,11.4
21,Adrian Branch,SF,10.4
40,Ben Coleman,PF,13.2
45,Dallas Comegys,PF,9.5
50,Chris Engler,C,7.1
42,Mike Gminski,C,15.8
21,Roy Hinson,SF,15.6
23,Dennis Hopson,SG,10.2
40,Tim McCormick,C,14.4
12,Kevin McKenna,SG,9.2
0,Johnny Moore,PG,-9.8
31,Mike O'Koren,SF,13.7
15,Jamie Waller,SG,7.1
14,Duane Washington,SG,16.1
1,Pearl Washington,PG,13.1
52,Buck Williams,PF,18.2
15,Ricky Wilson,PG,17.6
0,Orlando Woolridge,SF,14.5
