No.,Player,Pos,PER
25,Nick Anderson,SF,19.6
10,Darrell Armstrong,PG,15.7
2,David Benoit,SF,11.8
20,Kevin Edwards,SG,13.1
34,Brian Evans,SF,12.0
54,Horace Grant,C,15.4
1,Anfernee Hardaway,SG,15.9
12,Derek Harper,SG,11.5
9,Tim Kempton,PF,-5.1
8,Jason Lawson,C,21.5
2,Vernon Maxwell,SG,9.4
3,Kevin Ollie,PG,9.9
45,Bo Outlaw,PF,15.5
5,Mark Price,PG,14.9
5,Donald Royal,SF,-1.6
24,Danny Schayes,C,10.9
4,Rony Seikaly,C,15.8
33,Derek Strong,PF,16.6
17,Johnny Taylor,SF,4.4
30,Carl Thomas,SG,27.8
4,Spud Webb,PG,3.2
21,Gerald Wilkins,SG,5.4
