No.,Player,Pos,PER
21,Robert Archibald,PF,-5.1
10,Leandro Barbosa,PG,12.7
11,Zarko Cabarkapa,PF,8.4
12,Howard Eisley,PG,11.2
24,Tom Gugliotta,PF,5.2
1,Anfernee Hardaway,SG,13.2
4,Donnell Harvey,PF,11.1
23,Casey Jacobsen,SF,9.6
2,Joe Johnson,SG,13.9
22,Brevin Knight,PG,11.7
30,Maciej Lampe,C,12.2
3,Stephon Marbury,PG,19.9
31,Shawn Marion,SF,19.9
14,Antonio McDyess,PF,11.8
32,Amar'e Stoudemire,PF,19.8
15,Cezary Trybanski,C,-14.8
43,Jake Voskuhl,C,11.2
55,Jahidi White,C,11.9
47,Scott Williams,C,19.3
