No.,Player,Pos,PER
12,Jim Barnes,PF,10.5
3,Fred Carter,SG,12.3
31,George Johnson,C,7.8
25,Gus Johnson,PF,18.9
22,Kevin Loughery,SG,14.4
24,Jack Marin,SF,15.7
15,Eddie Miles,SG,10.9
10,Earl Monroe,PG,17.1
40,Dorie Murrey,PF,10.2
40,Dennis Stewart,F,24.4
12,John Tresvant,PF,11.8
35,Al Tucker,PF,13.7
41,Wes Unseld,C,17.9
11,Gary Zeller,SG,1.7
