No.,Player,Pos,PER
0,Gilbert Arenas,PG,18.7
7,Andray Blatche,PF,17.6
12,Earl Boykins,PG,12.9
3,Caron Butler,SF,13.5
9,Paul Davis,PF,33.3
15,Randy Foye,PG,13.2
24,Alonzo Gee,SG,16.2
33,Mike Harris,PF,11.9
33,Brendan Haywood,C,16.2
5,Josh Howard,SF,19.2
9,Cedric Jackson,PG,-0.2
13,Mike James,PG,5.5
4,Antawn Jamison,PF,17.5
2,Shaun Livingston,PG,14.4
20,Cartier Martin,SF,13.2
34,JaVale McGee,C,17.0
5,Dominic McGuire,SF,4.2
6,Mike Miller,SG,13.9
21,Fabricio Oberto,C,5.7
3,Quinton Ross,SG,0.3
22,James Singleton,PF,11.8
2,DeShawn Stevenson,SG,3.3
14,Al Thornton,SF,12.1
1,Nick Young,SG,10.7
