No.,Player,Pos,PER
32,Mitchell Butler,SG,7.4
40,Calbert Cheaney,SF,13.0
34,Michael Curry,SF,8.2
21,Ledell Eackles,SG,12.5
1,Greg Grant,PG,7.5
5,Juwan Howard,PF,17.0
23,Tim Legler,SG,15.9
42,Cedric Lewis,C,62.7
55,Bob McCann,PF,9.1
22,Jim McIlvaine,C,9.7
77,Gheorghe Muresan,C,21.0
14,Robert Pack,PG,19.3
54,Mike Peplowski,C,-12.5
20,Brent Price,PG,17.5
15,Mark Price,PG,10.3
12,Kevin Pritchard,PG,25.6
34,Bob Thornton,PF,4.1
30,Rasheed Wallace,PF,11.8
4,Chris Webber,PF,23.6
42,Jeff Webster,SF,7.0
12,Chris Whitney,PG,17.1
