No.,Player,Pos,PER
7,Benoit Benjamin,C,8.9
21,Marcus Camby,C,17.8
13,Doug Christie,SG,15.1
35,Earl Cureton,PF,4.9
44,Hubert Davis,SG,7.4
55,Acie Earl,C,10.0
54,Popeye Jones,PF,12.0
32,Martin Lewis,SF,10.9
33,Brad Lohaus,PF,2.4
25,John Long,SG,8.9
2,Oliver Miller,C,17.0
24,Jimmy Oliver,SG,4.7
31,Shawn Respert,SG,13.0
34,Carlos Rogers,PF,17.0
7,Clifford Rozier,C,14.7
24,Reggie Slater,PF,17.8
20,Damon Stoudamire,PG,18.1
3,Zan Tabak,C,12.5
12,Donald Whiteside,PG,7.6
42,Walt Williams,SF,14.9
4,Sharone Wright,C,7.4
