No.,Player,Pos,PER
12,Steven Adams,C,14.1
14,D.J. Augustin,PG,10.2
4,Nick Collison,PF,11.2
35,Kevin Durant,SF,27.6
9,Serge Ibaka,PF,16.6
15,Reggie Jackson,PG,15.6
7,Grant Jerrett,PF,-11.0
3,Perry Jones,SF,6.9
34,Enes Kanter,C,24.9
11,Jeremy Lamb,SG,14.9
33,Mitch McGary,PF,16.6
2,Anthony Morrow,SG,14.8
6,Steve Novak,PF,1.3
5,Kendrick Perkins,C,7.4
21,Andre Roberson,SG,9.1
5,Kyle Singler,SF,5.8
8,Ish Smith,PG,9.0
31,Sebastian Telfair,PG,11.4
42,Lance Thomas,SF,6.6
23,Dion Waiters,SG,10.1
0,Russell Westbrook,PG,29.1
