No.,Player,Pos,PER
2,Drew Barry,PG,10.1
10,Mookie Blaylock,PG,15.1
21,Jason Caffey,PF,12.4
43,Chris Carr,SG,11.1
35,Terry Cummings,PF,14.0
5,Vonteego Cummings,PG,12.9
15,Bill Curley,SF,6.8
25,Erick Dampier,C,9.6
4-7,Mark Davis,SF,9.8
8,Tony Farmer,PF,15.7
31,Adonal Foyle,C,12.3
20,Larry Hughes,SG,15.4
6,Sam Jacobson,PG,11.1
33,Antawn Jamison,SF,16.7
13,Damon Jones,PG,14.0
23,Tim Legler,SG,7.2
7,Sam Mack,SF,8.0
3,Donyell Marshall,PF,17.1
34,Chris Mills,SF,16.2
30,Billy Owens,SF,10.5
9,John Starks,SG,12.4
30,Jamel Thomas,SF,3.0
55,Tim Young,C,11.7
