No.,Player,Pos,PER
10,Tiny Archibald,PG,23.0
43,Sid Catlett,SF,-1.4
33,Ken Durrett,SF,8.1
41,Jim Fox,C,14.4
20,Johnny Green,PF,15.6
24,Matt Guokas,SG,9.9
18,Darrall Imhoff,C,4.5
12,Jake Jones,SG,8.2
44,Sam Lacey,C,12.1
25,Gil McGregor,PF,6.8
15,John Mengelt,SG,15.8
23,Fred Taylor,SG,5.0
5,Tom Van Arsdale,SF,14.7
23,Norm Van Lier,PG,9.9
22,Nate Williams,SG,11.2
