No.,Player,Pos,PER
10,Dexter Boney,SG,10.2
52,Chucky Brown,SF,11.6
45,Mike Brown,C,11.1
2,Mark Bryant,PF,13.3
10,Sam Cassell,PG,18.3
1,Cedric Ceballos,SF,17.7
3,Rex Chapman,SG,15.2
43,Ben Davis,PF,9.4
27,Tony Dumas,SG,1.3
4,Michael Finley,SF,14.6
45,A.C. Green,PF,11.6
25,Robert Horry,SF,11.1
7,Kevin Johnson,PG,22.9
32,Jason Kidd,PG,18.0
35,Joe Kleine,C,6.5
17,Horacio Llamas Grey,C,10.5
15,Danny Manning,PF,17.9
40,Loren Meyer,PF,10.2
13,Steve Nash,PG,10.8
11,Wesley Person,SG,15.9
20,Rumeal Robinson,PG,9.7
23,Wayman Tisdale,PF,8.8
18,Hot Rod Williams,C,13.8
