No.,Player,Pos,PER
13,Maurice Ager,SG,7.1
30,Malik Allen,PF,10.1
10,Darrell Armstrong,PG,8.7
2,Josh Boone,PF,14.8
15,Vince Carter,SG,18.8
35,Jason Collins,C,2.0
14,DeSagana Diop,C,10.4
8,Eddie Gill,PG,11.9
34,Devin Harris,PG,16.7
44,Trenton Hassell,SG,3.5
24,Richard Jefferson,SF,17.4
5,Jason Kidd,PG,15.7
12,Nenad Krstic,C,8.5
20,Jamaal Magloire,C,1.7
7,Bostjan Nachbar,PF,12.4
6,Stromile Swift,PF,12.7
22,Billy Thomas,SF,-10.3
1,Marcus Williams,PG,11.0
51,Sean Williams,C,13.9
21,Antoine Wright,SG,8.3
