No.,Player,Pos,PER
6,Travis Best,PG,11.9
2,Rodney Buford,SF,9.5
41,Elden Campbell,C,-1.4
15,Vince Carter,SF,24.5
35,Jason Collins,C,8.6
28,Kaniel Dickens,SF,6.7
44,Donnell Harvey,PF,35.2
24,Richard Jefferson,SF,16.6
5,Jason Kidd,PG,19.5
12,Nenad Krstic,PF,13.4
1,Ron Mercer,SF,9.4
7,Jerome Moiso,C,17.0
33,Alonzo Mourning,PF,13.5
10,Zoran Planinic,PG,12.5
30,Clifford Robinson,PF,9.0
21,Brian Scalabrine,PF,11.0
55,Jabari Smith,PF,8.4
26,Awvee Storey,SG,6.9
20,Billy Thomas,SF,8.2
11,Jacque Vaughn,SG,8.9
34,Aaron Williams,C,8.9
17,Eric Williams,SG,11.9
