No.,Player,Pos,PER
15,Chris Andersen,C,14.0
30,Mark Blount,C,9.6
32,Ryan Bowen,SG,12.7
14,Devin Brown,SG,4.8
9,Mark Bryant,PF,-5.0
23,Marcus Camby,C,17.5
25,John Crotty,PG,7.6
21,Adam Harrington,SG,10.4
6,Junior Harrington,PG,6.4
1,Donnell Harvey,SF,12.5
31,Nene Hilario,C,15.4
5,Juwan Howard,PF,17.2
41,James Posey,SF,12.3
11,Kenny Satterfield,PG,5.2
4,Predrag Savovic,SG,6.0
20,Jeff Trepagnier,SG,17.5
22,Nikoloz Tskitishvili,SF,4.9
7,Rodney White,SG,9.8
12,Chris Whitney,PG,10.2
11,Shammond Williams,PG,12.5
3,Vincent Yarbrough,SG,9.5
