No.,Player,Pos,PER
7,Kelenna Azubuike,SG,13.4
22,Matt Barnes,PF,14.7
15,Andris Biedrins,C,16.2
5,Baron Davis,PG,21.0
9,Ike Diogu,PF,18.4
34,Mike Dunleavy,PF,14.6
8,Monta Ellis,SG,15.0
31,Adonal Foyle,C,13.7
3,Al Harrington,PF,16.1
1,Stephen Jackson,SF,15.7
33,Sarunas Jasikevicius,PG,11.3
12,Renaldo Major,PF,-3.7
4,Keith McLeod,PG,12.3
1,Troy Murphy,PF,14.8
26,Patrick O'Bryant,C,7.3
2,Mickael Pietrus,SF,13.0
21,Josh Powell,PF,12.0
23,Jason Richardson,SG,15.5
3,Anthony Roberson,PG,11.4
0,Dajuan Wagner,SG,17.2
