No.,Player,Pos,PER
9,Tariq Abdul-Wahad,SG,10.3
15,Chris Andersen,C,13.8
30,Carlos Arroyo,PG,12.6
27,Mengke Bateer,C,8.0
32,Ryan Bowen,SF,11.4
29,Calbert Cheaney,SG,10.3
25,Zendon Hamilton,PF,13.5
10,Tim Hardaway,PG,14.2
1,Donnell Harvey,PF,15.0
7,Juwan Howard,PF,17.1
6,Avery Johnson,PG,17.3
45,Raef LaFrentz,C,18.9
5,Voshon Lenard,SG,14.5
21,George McCloud,SF,9.8
24,Antonio McDyess,PF,21.0
41,James Posey,SF,12.9
34,Isaiah Rider,SG,16.3
11,Kenny Satterfield,PG,11.5
36,Shawnelle Scott,C,14.5
31,Nick Van Exel,PG,18.4
42,Scott Williams,PF,10.5
