No.,Player,Pos,PER
1,Trevor Ariza,SF,12.7
2,Patrick Beverley,PG,11.3
10,Tarik Black,C,11.6
33,Corey Brewer,SF,14.0
0,Isaiah Canaan,PG,11.8
15,Clint Capela,C,12.1
30,Troy Daniels,SG,4.5
8,Joey Dorsey,PF,11.1
32,Francisco Garcia,SF,3.6
13,James Harden,SG,26.7
12,Dwight Howard,C,19.2
3,Nick Johnson,SG,4.8
6,Terrence Jones,PF,18.3
32,K.J. McDaniels,SG,4.6
20,Donatas Motiejunas,PF,14.4
16,Kostas Papanikolaou,SF,7.8
9,Pablo Prigioni,PG,11.4
88,Alexey Shved,SG,9.3
5,Josh Smith,PF,15.2
31,Jason Terry,SG,11.4
