No.,Player,Pos,PER
41,Lance Allred,C,-1.0
33,Devin Brown,SG,11.3
6,Shannon Brown,SG,8.1
45,Kaniel Dickens,PF,6.6
1,Daniel Gibson,PG,11.7
90,Drew Gooden,PF,12.5
32,Larry Hughes,PG,11.6
11,Zydrunas Ilgauskas,C,18.7
23,LeBron James,SF,29.1
19,Damon Jones,SG,11.3
27,Dwayne Jones,PF,11.1
24,Donyell Marshall,PF,8.4
14,Ira Newble,SG,10.0
35,Demetris Nichols,SF,-20.8
3,Sasha Pavlovic,SG,7.2
15,Cedric Simmons,PF,2.4
32,Joe Smith,PF,14.9
20,Eric Snow,PG,3.1
10,Wally Szczerbiak,SF,10.3
12,Billy Thomas,SF,0.1
17,Anderson Varejao,C,12.0
4,Ben Wallace,PF,12.4
13,Delonte West,PG,14.1
