No.,Player,Pos,PER
20,Ray Allen,SG,16.4
45,Carlos Arroyo,PG,6.7
0,Avery Bradley,PG,2.2
8,Marquis Daniels,SF,11.7
11,Glen Davis,C,12.8
86,Semih Erden,C,10.8
5,Kevin Garnett,PF,20.6
8,Jeff Green,SF,12.9
55,Luke Harangody,PF,8.7
86,Chris Johnson,C,9.9
4,Nenad Krstic,C,14.3
30,Troy Murphy,PF,10.1
7,Jermaine O'Neal,C,9.2
36,Shaquille O'Neal,C,17.4
77,Sasha Pavlovic,SG,5.1
43,Kendrick Perkins,C,10.2
34,Paul Pierce,SF,19.7
4,Nate Robinson,PG,10.2
9,Rajon Rondo,PG,17.1
12,Von Wafer,SG,10.6
13,Delonte West,PG,12.3
