No.,Player,Pos,PER
3,Cal Bowdler,SF,15.8
30,Ira Bowman,PG,9.2
2,Sean Colson,PG,-10.6
4,Chris Crawford,PF,9.5
5,Dion Glover,SG,12.3
44,Alan Henderson,PF,14.0
22,Jim Jackson,SF,12.7
10,Anthony Johnson,PG,7.2
1,DerMarr Johnson,SF,8.4
22,Brevin Knight,PG,12.9
7,Toni Kukoc,SF,21.8
12,Matt Maloney,PG,10.4
7,Roshown McLeod,SF,10.6
34,Anthony Miller,PF,4.7
14,Nazr Mohammed,C,20.3
13,Hanno Mottola,SF,7.5
55,Dikembe Mutombo,C,16.5
24,Andy Panko,SF,0.0
20,Larry Robinson,PG,11.9
24,Pepe Sanchez,PG,-4.8
14,Tony Smith,SG,3.8
31,Jason Terry,SG,17.3
42,Lorenzen Wright,C,15.7
