No.,Player,Pos,PER
13,David Andersen,C,12.1
1,Trevor Ariza,SF,13.3
3,Hilton Armstrong,C,1.1
31,Shane Battier,SG,11.1
0,Aaron Brooks,PG,16.0
10,Chase Budinger,SF,14.1
5,Will Conroy,PG,-2.4
43,Brian Cook,PF,2.4
15,Joey Dorsey,PF,11.5
33,Mike Harris,PF,6.4
44,Chuck Hayes,C,11.7
27,Jordan Hill,PF,15.7
20,Jared Jeffries,SF,10.1
14,Carl Landry,PF,21.1
7,Kyle Lowry,PG,15.5
12,Kevin Martin,SG,17.1
3,Tracy McGrady,SG,12.4
21,Pops Mensah-Bonsu,PF,15.2
4,Luis Scola,PF,17.2
8,Jermaine Taylor,SG,11.4
2,Garrett Temple,SG,8.6
