No.,Player,Pos,PER
1.0,Cory Alexander,PG,14.3
33.0,Greg Anderson,C,11.4
40.0,Joe Courtney,PF,2.4
15.0,Vinny Del Negro,SG,14.4
32.0,Sean Elliott,SF,14.0
14.0,Jamie Feick,PF,11.0
4.0,Devin Gray,PF,-7.1
4.0,Darrin Hancock,SF,18.3
7.0,Carl Herrera,PF,10.6
34.0,Stephen Howard,SF,19.5
6.0,Avery Johnson,PG,15.0
8.0,Tim Kempton,PF,-1.0
11.0,Vernon Maxwell,SG,11.8
9.0,Gaylon Nickerson,SG,14.3
41.0,Will Perdue,C,16.7
50.0,David Robinson,C,31.0
35.0,Jason Sasser,SF,4.9
,Charles Smith,PF,10.6
21.0,Dominique Wilkins,SF,19.6
3.0,Monty Williams,SF,15.6
